,#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
91,84,Doduo,Normal,Flying,310,35,85,45,35,35,75,1,False
195,181,Ampharos,Electric,,510,90,75,85,115,90,55,2,False
294,271,Lombre,Water,Grass,340,60,50,50,60,70,50,3,False
470,423,Gastrodon,Water,Ground,475,111,83,68,92,82,39,4,False
217,202,Wobbuffet,Psychic,,405,190,33,58,33,58,33,2,False
82,76,Golem,Rock,Ground,495,80,120,130,55,65,45,1,False
591,531,AudinoMega Audino,Normal,Fairy,545,103,60,126,80,126,50,5,False
796,719,DiancieMega Diancie,Rock,Fairy,700,50,160,110,160,110,110,6,True
543,486,Regigigas,Normal,,670,110,160,110,80,110,100,4,True
694,633,Deino,Dark,Dragon,300,52,65,50,45,50,38,5,False
744,676,Furfrou,Normal,,472,75,80,60,65,90,102,6,False
225,209,Snubbull,Fairy,,300,60,80,50,40,40,30,2,False
799,721,Volcanion,Fire,Water,600,80,110,120,130,90,70,6,True
339,310,ManectricMega Manectric,Electric,,575,70,75,80,135,80,135,3,False
424,383,GroudonPrimal Groudon,Ground,Fire,770,100,180,160,150,90,90,3,True
71,65,AlakazamMega Alakazam,Psychic,,590,55,50,65,175,95,150,1,False
535,479,RotomFan Rotom,Electric,Flying,520,50,65,107,105,107,86,4,False
407,372,Shelgon,Dragon,,420,65,95,100,60,50,50,3,False
772,702,Dedenne,Electric,Fairy,431,67,58,57,81,67,101,6,False
686,625,Bisharp,Dark,Steel,490,65,125,100,60,70,70,5,False
614,554,Darumaka,Fire,,315,70,90,45,15,45,50,5,False
208,193,Yanma,Bug,Flying,390,65,65,45,75,45,95,2,False
33,28,Sandslash,Ground,,450,75,100,110,45,55,65,1,False
751,681,AegislashShield Forme,Steel,Ghost,520,60,50,150,50,150,60,6,False
330,304,Aron,Steel,Rock,330,50,70,100,40,40,30,3,False
327,302,SableyeMega Sableye,Dark,Ghost,480,50,85,125,85,115,20,3,False
538,481,Mesprit,Psychic,,580,80,105,105,105,105,80,4,True
127,118,Goldeen,Water,,320,45,67,60,35,50,63,1,False
372,340,Whiscash,Water,Ground,468,110,78,73,76,71,60,3,False
742,674,Pancham,Fighting,,348,67,82,62,46,48,43,6,False
508,458,Mantyke,Water,Flying,345,45,20,50,60,120,50,4,False
443,398,Staraptor,Normal,Flying,485,85,120,70,50,60,100,4,False
184,170,Chinchou,Water,Electric,330,75,38,38,56,56,67,2,False
499,449,Hippopotas,Ground,,330,68,72,78,38,42,32,4,False
398,363,Spheal,Ice,Water,290,70,40,50,55,50,25,3,False
378,346,Cradily,Rock,Grass,495,86,81,97,81,107,43,3,False
124,115,KangaskhanMega Kangaskhan,Normal,,590,105,125,100,60,100,100,1,False
200,185,Sudowoodo,Rock,,410,70,100,115,30,65,30,2,False
139,129,Magikarp,Water,,200,20,10,55,15,20,80,1,False
563,504,Patrat,Normal,,255,45,55,39,35,39,42,5,False
754,684,Swirlix,Fairy,,341,62,48,66,59,57,49,6,False
583,524,Roggenrola,Rock,,280,55,75,85,25,25,15,5,False
597,537,Seismitoad,Water,Ground,509,105,95,75,85,75,74,5,False
287,264,Linoone,Normal,,420,78,70,61,50,61,100,3,False
719,651,Quilladin,Grass,,405,61,78,95,56,58,57,6,False
60,55,Golduck,Water,,500,80,82,78,95,80,85,1,False
506,456,Finneon,Water,,330,49,49,56,49,61,66,4,False
571,512,Simisage,Grass,,498,75,98,63,98,63,101,5,False
453,408,Cranidos,Rock,,350,67,125,40,30,30,58,4,False
734,666,Vivillon,Bug,Flying,411,80,52,50,90,50,89,6,False
635,574,Gothita,Psychic,,290,45,30,50,55,65,45,5,False
88,81,Magnemite,Electric,Steel,325,25,35,70,95,55,45,1,False
373,341,Corphish,Water,,308,43,80,65,50,35,35,3,False
360,329,Vibrava,Ground,Dragon,340,50,70,50,50,50,70,3,False
781,710,PumpkabooSmall Size,Ghost,Grass,335,44,66,70,44,55,56,6,False
43,38,Ninetales,Fire,,505,73,76,75,81,100,100,1,False
223,208,Steelix,Steel,Ground,510,75,85,200,55,65,30,2,False
220,205,Forretress,Bug,Steel,465,75,90,140,60,60,40,2,False
561,502,Dewott,Water,,413,75,75,60,83,60,60,5,False
593,533,Gurdurr,Fighting,,405,85,105,85,40,50,40,5,False
736,668,Pyroar,Fire,Normal,507,86,68,72,109,66,106,6,False
466,419,Floatzel,Water,,495,85,105,55,85,50,115,4,False
234,216,Teddiursa,Normal,,330,60,80,50,50,50,40,2,False
551,492,ShayminSky Forme,Grass,Flying,600,100,103,75,120,75,127,4,True
365,334,Altaria,Dragon,Flying,490,75,70,90,70,105,80,3,False
582,523,Zebstrika,Electric,,497,75,100,63,80,63,116,5,False
503,453,Croagunk,Poison,Fighting,300,48,61,40,61,40,50,4,False
784,711,GourgeistAverage Size,Ghost,Grass,494,65,90,122,58,75,84,6,False
798,720,HoopaHoopa Unbound,Psychic,Dark,680,80,160,60,170,130,80,6,True
489,441,Chatot,Normal,Flying,411,76,65,45,92,42,91,4,False
94,87,Dewgong,Water,Ice,475,90,70,80,70,95,70,1,False
388,355,Duskull,Ghost,,295,20,40,90,30,90,25,3,False
301,278,Wingull,Water,Flying,270,40,30,30,55,30,85,3,False
444,399,Bidoof,Normal,,250,59,45,40,35,40,31,4,False
237,219,Magcargo,Fire,Rock,410,50,50,120,80,80,30,2,False
119,111,Rhyhorn,Ground,Rock,345,80,85,95,30,30,25,1,False
13,10,Caterpie,Bug,,195,45,30,35,20,20,45,1,False
264,245,Suicune,Water,,580,100,75,115,90,115,85,2,True
589,530,Excadrill,Ground,Steel,508,110,135,60,50,65,88,5,False
134,125,Electabuzz,Electric,,490,65,83,57,95,85,105,1,False
495,446,Munchlax,Normal,,390,135,85,40,40,85,5,4,False
620,559,Scraggy,Dark,Fighting,348,50,75,70,35,70,48,5,False
788,712,Bergmite,Ice,,304,55,69,85,32,35,28,6,False
491,443,Gible,Dragon,Ground,300,58,70,45,40,45,42,4,False
183,169,Crobat,Poison,Flying,535,85,90,80,70,80,130,2,False
609,549,Lilligant,Grass,,480,70,60,75,110,75,90,5,False
269,249,Lugia,Psychic,Flying,680,106,90,130,90,154,110,2,True
631,570,Zorua,Dark,,330,40,65,40,80,40,65,5,False
472,425,Drifloon,Ghost,Flying,348,90,50,34,60,44,70,4,False
671,610,Axew,Dragon,,320,46,87,60,30,40,57,5,False
606,546,Cottonee,Grass,Fairy,280,40,27,60,37,50,66,5,False
261,242,Blissey,Normal,,540,255,10,10,75,135,55,2,False
307,283,Surskit,Bug,Water,269,40,30,32,50,52,65,3,False
418,380,LatiasMega Latias,Dragon,Psychic,700,80,100,120,140,150,110,3,True
462,415,Combee,Bug,Flying,244,30,30,42,30,42,70,4,False
743,675,Pangoro,Fighting,Dark,495,95,124,78,69,71,58,6,False
449,404,Luxio,Electric,,363,60,85,49,60,49,60,4,False
757,687,Malamar,Dark,Psychic,482,86,92,88,68,75,73,6,False
8,6,CharizardMega Charizard Y,Fire,Flying,634,78,104,78,159,115,100,1,False
790,714,Noibat,Flying,Dragon,245,40,30,35,45,40,55,6,False
